2023-10-12 22:15:15.513,cov: 489,ft: 1908
2023-10-12 22:15:15.517,cov: 494,ft: 1921
2023-10-12 22:15:15.521,cov: 569,ft: 2209
2023-10-12 22:15:15.526,cov: 571,ft: 2213
2023-10-12 22:15:15.530,cov: 571,ft: 2214
2023-10-12 22:15:15.534,cov: 571,ft: 2216
2023-10-12 22:15:15.538,cov: 571,ft: 2224
2023-10-12 22:15:15.543,cov: 571,ft: 2250
2023-10-12 22:15:15.547,cov: 581,ft: 2301
2023-10-12 22:15:15.551,cov: 581,ft: 2388
2023-10-12 22:15:15.555,cov: 598,ft: 2460
2023-10-12 22:15:15.560,cov: 598,ft: 2478
2023-10-12 22:15:15.564,cov: 598,ft: 2479
2023-10-12 22:15:15.568,cov: 598,ft: 2480
2023-10-12 22:15:15.572,cov: 599,ft: 2484
2023-10-12 22:15:15.576,cov: 602,ft: 2508
2023-10-12 22:15:15.581,cov: 602,ft: 2522
2023-10-12 22:15:15.585,cov: 602,ft: 2543
2023-10-12 22:15:15.589,cov: 602,ft: 2555
2023-10-12 22:15:15.593,cov: 602,ft: 2565
2023-10-12 22:15:15.598,cov: 602,ft: 2572
2023-10-12 22:15:15.602,cov: 602,ft: 2586
2023-10-12 22:15:15.606,cov: 602,ft: 2589
2023-10-12 22:15:15.610,cov: 602,ft: 2661
2023-10-12 22:15:15.614,cov: 602,ft: 2664
2023-10-12 22:15:15.619,cov: 602,ft: 2665
2023-10-12 22:15:15.623,cov: 602,ft: 2683
2023-10-12 22:15:15.627,cov: 617,ft: 2752
2023-10-12 22:15:15.631,cov: 617,ft: 2761
2023-10-12 22:15:15.635,cov: 617,ft: 2762
2023-10-12 22:15:15.640,cov: 617,ft: 2789
2023-10-12 22:15:15.644,cov: 617,ft: 2832
2023-10-12 22:15:15.648,cov: 642,ft: 2945
2023-10-12 22:15:15.652,cov: 648,ft: 2961
2023-10-12 22:15:15.656,cov: 648,ft: 2963
2023-10-12 22:15:15.661,cov: 648,ft: 2967
2023-10-12 22:15:15.665,cov: 648,ft: 2969
2023-10-12 22:15:15.669,cov: 648,ft: 2972
2023-10-12 22:15:15.673,cov: 650,ft: 3023
2023-10-12 22:15:15.678,cov: 651,ft: 3025
2023-10-12 22:15:15.682,cov: 651,ft: 3026
2023-10-12 22:15:15.686,cov: 651,ft: 3027
2023-10-12 22:15:15.690,cov: 651,ft: 3028
