2023-10-14 07:04:50.823,cov: 10,ft: 35
2023-10-14 07:04:50.828,cov: 11,ft: 38
2023-10-14 07:04:50.832,cov: 11,ft: 39
2023-10-14 07:04:50.837,cov: 11,ft: 41
2023-10-14 07:04:50.841,cov: 11,ft: 41
2023-10-14 07:04:50.845,cov: 11,ft: 41
2023-10-14 07:04:50.850,cov: 11,ft: 41
2023-10-14 07:04:50.855,cov: 11,ft: 41
2023-10-14 07:04:50.859,cov: 11,ft: 41
2023-10-14 07:04:50.863,cov: 11,ft: 41
2023-10-14 07:04:50.867,cov: 13,ft: 47
2023-10-14 07:04:50.871,cov: 13,ft: 48
2023-10-14 07:04:50.876,cov: 13,ft: 49
2023-10-14 07:04:50.880,cov: 13,ft: 51
2023-10-14 07:04:50.884,cov: 13,ft: 53
2023-10-14 07:04:50.889,cov: 13,ft: 54
2023-10-14 07:04:50.893,cov: 13,ft: 55
2023-10-14 07:04:50.898,cov: 13,ft: 56
2023-10-14 07:04:50.902,cov: 30,ft: 106
2023-10-14 07:04:50.906,cov: 30,ft: 106
2023-10-14 07:04:50.910,cov: 30,ft: 120
2023-10-14 07:04:50.915,cov: 30,ft: 120
2023-10-14 07:04:50.919,cov: 30,ft: 121
2023-10-14 07:04:50.923,cov: 30,ft: 121
2023-10-14 07:04:50.928,cov: 30,ft: 124
2023-10-14 07:04:50.932,cov: 30,ft: 125
2023-10-14 07:04:50.936,cov: 30,ft: 128
2023-10-14 07:04:50.941,cov: 30,ft: 137
2023-10-14 07:04:50.945,cov: 30,ft: 137
2023-10-14 07:04:50.949,cov: 30,ft: 138
2023-10-14 07:04:50.954,cov: 30,ft: 138
2023-10-14 07:04:50.958,cov: 30,ft: 139
2023-10-14 07:04:50.962,cov: 30,ft: 141
2023-10-14 07:04:50.967,cov: 30,ft: 141
2023-10-14 07:04:50.971,cov: 30,ft: 142
2023-10-14 07:04:50.975,cov: 30,ft: 142
2023-10-14 07:04:50.980,cov: 30,ft: 143
2023-10-14 07:04:50.984,cov: 30,ft: 151
2023-10-14 07:04:50.988,cov: 30,ft: 152
2023-10-14 07:04:50.992,cov: 30,ft: 152
2023-10-14 07:04:50.996,cov: 30,ft: 153
2023-10-14 07:04:51.000,cov: 30,ft: 153
2023-10-14 07:04:51.004,cov: 30,ft: 153
2023-10-14 07:04:51.009,cov: 30,ft: 154
2023-10-14 07:04:51.013,cov: 30,ft: 154
2023-10-14 07:04:51.017,cov: 30,ft: 156
2023-10-14 07:04:51.021,cov: 30,ft: 156
2023-10-14 07:04:51.026,cov: 30,ft: 156
2023-10-14 07:04:51.030,cov: 30,ft: 158
2023-10-14 07:04:51.034,cov: 30,ft: 158
2023-10-14 07:04:51.038,cov: 30,ft: 159
2023-10-14 07:04:51.042,cov: 30,ft: 159
2023-10-14 07:04:51.047,cov: 30,ft: 161
2023-10-14 07:04:51.051,cov: 30,ft: 163
2023-10-14 07:04:51.055,cov: 30,ft: 163
2023-10-14 07:04:51.059,cov: 30,ft: 163
2023-10-14 07:04:51.063,cov: 30,ft: 163
2023-10-14 07:04:51.068,cov: 30,ft: 164
2023-10-14 07:04:51.072,cov: 30,ft: 164
2023-10-14 07:04:51.076,cov: 30,ft: 166
2023-10-14 07:04:51.080,cov: 30,ft: 167
2023-10-14 07:04:51.084,cov: 30,ft: 167
2023-10-14 07:04:51.088,cov: 30,ft: 168
2023-10-14 07:04:51.093,cov: 30,ft: 168
2023-10-14 07:04:51.097,cov: 30,ft: 169
2023-10-14 07:04:51.101,cov: 30,ft: 169
2023-10-14 07:04:51.105,cov: 30,ft: 171
2023-10-14 07:04:51.109,cov: 30,ft: 171
2023-10-14 07:04:51.113,cov: 30,ft: 171
2023-10-14 07:04:51.117,cov: 30,ft: 173
2023-10-14 07:04:51.122,cov: 30,ft: 175
2023-10-14 07:04:51.126,cov: 30,ft: 178
2023-10-14 07:04:51.130,cov: 30,ft: 179
2023-10-14 07:04:51.134,cov: 30,ft: 180
2023-10-14 07:04:51.138,cov: 30,ft: 181
2023-10-14 07:04:51.142,cov: 30,ft: 181
2023-10-14 07:04:51.147,cov: 30,ft: 181
2023-10-14 07:04:51.151,cov: 30,ft: 181
2023-10-14 07:04:51.155,cov: 30,ft: 182
2023-10-14 07:04:51.159,cov: 30,ft: 184
2023-10-14 07:04:51.163,cov: 30,ft: 186
2023-10-14 07:04:51.167,cov: 30,ft: 186
2023-10-14 07:04:51.172,cov: 30,ft: 186
2023-10-14 07:04:51.176,cov: 30,ft: 186
2023-10-14 07:04:51.180,cov: 30,ft: 186
2023-10-14 07:04:51.184,cov: 30,ft: 186
2023-10-14 07:04:51.188,cov: 30,ft: 186
2023-10-14 07:04:51.192,cov: 30,ft: 186
2023-10-14 07:04:51.197,cov: 30,ft: 186
2023-10-14 07:04:51.201,cov: 30,ft: 186
2023-10-14 07:04:51.205,cov: 30,ft: 186
2023-10-14 07:04:51.209,cov: 30,ft: 186
2023-10-14 07:04:51.213,cov: 30,ft: 186
2023-10-14 07:04:51.217,cov: 30,ft: 186
2023-10-14 07:04:51.222,cov: 30,ft: 186
2023-10-14 07:04:51.226,cov: 30,ft: 186
2023-10-14 07:04:51.230,cov: 30,ft: 192
2023-10-14 07:04:51.234,cov: 30,ft: 192
2023-10-14 07:04:51.239,cov: 30,ft: 193
2023-10-14 07:04:51.243,cov: 30,ft: 193
2023-10-14 07:04:51.247,cov: 30,ft: 193
2023-10-14 07:04:51.251,cov: 30,ft: 193
2023-10-14 07:04:51.255,cov: 32,ft: 196
2023-10-14 07:04:51.259,cov: 32,ft: 198
2023-10-14 07:04:51.263,cov: 32,ft: 198
2023-10-14 07:04:51.268,cov: 32,ft: 200
2023-10-14 07:04:51.272,cov: 33,ft: 203
2023-10-14 07:04:51.276,cov: 33,ft: 204
2023-10-14 07:04:51.280,cov: 33,ft: 205
2023-10-14 07:04:51.284,cov: 33,ft: 205
2023-10-14 07:04:51.288,cov: 33,ft: 205
2023-10-14 07:04:51.292,cov: 33,ft: 205
2023-10-14 07:04:51.296,cov: 33,ft: 205
2023-10-14 07:04:51.300,cov: 33,ft: 205
2023-10-14 07:04:51.304,cov: 33,ft: 205
2023-10-14 07:04:51.308,cov: 33,ft: 206
2023-10-14 07:04:51.312,cov: 33,ft: 206
2023-10-14 07:04:51.317,cov: 33,ft: 207
2023-10-14 07:04:51.321,cov: 33,ft: 207
2023-10-14 07:04:51.325,cov: 33,ft: 207
2023-10-14 07:04:51.329,cov: 33,ft: 207
2023-10-14 07:04:51.333,cov: 33,ft: 207
2023-10-14 07:04:51.337,cov: 33,ft: 207
2023-10-14 07:04:51.341,cov: 33,ft: 207
2023-10-14 07:04:51.345,cov: 33,ft: 208
2023-10-14 07:04:51.349,cov: 33,ft: 208
2023-10-14 07:04:51.353,cov: 33,ft: 208
2023-10-14 07:04:51.357,cov: 33,ft: 208
2023-10-14 07:04:51.361,cov: 33,ft: 208
2023-10-14 07:04:51.365,cov: 33,ft: 208
2023-10-14 07:04:51.370,cov: 34,ft: 211
2023-10-14 07:04:51.374,cov: 34,ft: 211
2023-10-14 07:04:51.378,cov: 34,ft: 211
2023-10-14 07:04:51.382,cov: 34,ft: 211
2023-10-14 07:04:51.386,cov: 34,ft: 211
2023-10-14 07:04:51.390,cov: 34,ft: 211
2023-10-14 07:04:51.394,cov: 34,ft: 211
2023-10-14 07:04:51.398,cov: 34,ft: 211
2023-10-14 07:04:51.402,cov: 34,ft: 213
2023-10-14 07:04:51.406,cov: 34,ft: 213
2023-10-14 07:04:51.410,cov: 34,ft: 215
2023-10-14 07:04:51.415,cov: 34,ft: 215
2023-10-14 07:04:51.419,cov: 34,ft: 215
2023-10-14 07:04:51.423,cov: 34,ft: 215
2023-10-14 07:04:51.427,cov: 34,ft: 217
2023-10-14 07:04:51.431,cov: 34,ft: 218
2023-10-14 07:04:51.435,cov: 34,ft: 218
2023-10-14 07:04:51.439,cov: 34,ft: 218
2023-10-14 07:04:51.443,cov: 34,ft: 218
2023-10-14 07:04:51.448,cov: 34,ft: 218
2023-10-14 07:04:51.452,cov: 34,ft: 218
2023-10-14 07:04:51.456,cov: 34,ft: 218
2023-10-14 07:04:51.460,cov: 34,ft: 218
2023-10-14 07:04:51.464,cov: 48,ft: 276
2023-10-14 07:04:51.468,cov: 48,ft: 276
2023-10-14 07:04:51.473,cov: 48,ft: 276
2023-10-14 07:04:51.477,cov: 48,ft: 276
2023-10-14 07:04:51.481,cov: 48,ft: 276
2023-10-14 07:04:51.485,cov: 48,ft: 278
2023-10-14 07:04:51.489,cov: 48,ft: 280
2023-10-14 07:04:51.493,cov: 48,ft: 280
2023-10-14 07:04:51.498,cov: 48,ft: 280
2023-10-14 07:04:51.502,cov: 48,ft: 280
2023-10-14 07:04:51.506,cov: 48,ft: 281
2023-10-14 07:04:51.510,cov: 48,ft: 281
2023-10-14 07:04:51.514,cov: 48,ft: 281
2023-10-14 07:04:51.518,cov: 48,ft: 281
