2023-10-18 05:44:26.069,cov: 339,ft: 973
2023-10-18 05:44:26.074,cov: 340,ft: 974
2023-10-18 05:44:26.079,cov: 340,ft: 975
2023-10-18 05:44:26.084,cov: 341,ft: 980
2023-10-18 05:44:26.089,cov: 348,ft: 1017
2023-10-18 05:44:26.093,cov: 348,ft: 1029
2023-10-18 05:44:26.099,cov: 348,ft: 1030
2023-10-18 05:44:26.105,cov: 360,ft: 1076
2023-10-18 05:44:26.110,cov: 360,ft: 1084
2023-10-18 05:44:26.116,cov: 360,ft: 1084
2023-10-18 05:44:26.120,cov: 360,ft: 1084
2023-10-18 05:44:26.125,cov: 360,ft: 1089
2023-10-18 05:44:26.131,cov: 362,ft: 1134
2023-10-18 05:44:26.136,cov: 362,ft: 1135
2023-10-18 05:44:26.142,cov: 362,ft: 1142
2023-10-18 05:44:26.147,cov: 362,ft: 1144
2023-10-18 05:44:26.152,cov: 362,ft: 1149
2023-10-18 05:44:26.157,cov: 362,ft: 1153
2023-10-18 05:44:26.162,cov: 364,ft: 1170
2023-10-18 05:44:26.167,cov: 364,ft: 1173
2023-10-18 05:44:26.173,cov: 364,ft: 1177
2023-10-18 05:44:26.178,cov: 364,ft: 1177
2023-10-18 05:44:26.183,cov: 365,ft: 1191
2023-10-18 05:44:26.188,cov: 365,ft: 1191
2023-10-18 05:44:26.193,cov: 365,ft: 1193
2023-10-18 05:44:26.199,cov: 365,ft: 1193
2023-10-18 05:44:26.203,cov: 365,ft: 1194
2023-10-18 05:44:26.208,cov: 366,ft: 1202
2023-10-18 05:44:26.214,cov: 366,ft: 1202
2023-10-18 05:44:26.219,cov: 366,ft: 1204
2023-10-18 05:44:26.224,cov: 366,ft: 1206
2023-10-18 05:44:26.229,cov: 366,ft: 1206
2023-10-18 05:44:26.233,cov: 367,ft: 1210
2023-10-18 05:44:26.239,cov: 367,ft: 1211
2023-10-18 05:44:26.244,cov: 367,ft: 1212
2023-10-18 05:44:26.249,cov: 367,ft: 1213
2023-10-18 05:44:26.253,cov: 367,ft: 1215
2023-10-18 05:44:26.258,cov: 367,ft: 1217
2023-10-18 05:44:26.263,cov: 370,ft: 1228
2023-10-18 05:44:26.268,cov: 371,ft: 1230
2023-10-18 05:44:26.273,cov: 371,ft: 1232
2023-10-18 05:44:26.280,cov: 371,ft: 1234
